title_key,id,title_ja,title_en,author,year,status,demographic,source_file,source_index
神之塔,tower_god_extra,神之塔,Tower of God,SIU,2010,ongoing,web,src/data/coreDB_extra.js,147
女神降臨,true_beauty_extra,女神降臨,True Beauty,Yaongyi,2018,ongoing,web,src/data/coreDB_extra.js,148
全知的な読者の視点から,omniscient_reader,全知的な読者の視点から,Omniscient Reader's Viewpoint,Sing N Song/UMI,2020,ongoing,web,src/data/coreDB_extra.js,149
外見至上主義,lookism_extra,外見至上主義,Lookism,Park Tae-joon,2014,ongoing,web,src/data/coreDB_extra.js,150
喧嘩独学,viral_hit,喧嘩独学,How to Fight,Park Tae-joon/Kim Jung-hyun,2019,ongoing,web,src/data/coreDB_extra.js,151
スイトホム,sweet_home_extra,スイートホーム,Sweet Home,Kim Carnby/Hwang Young-chan,2017,completed,web,src/data/coreDB_extra.js,152
ノブレス,noblesse_extra,ノブレス,Noblesse,Son Jeho/Lee Kwangsu,2007,completed,web,src/data/coreDB_extra.js,153
勉強グルプ,study_group,勉強グループ,Study Group,Shin Hyung-wook/Yoo Su-ngul,2018,ongoing,web,src/data/coreDB_extra.js,155
火鳳燎原,the_ravages_of_time,火鳳燎原,The Ravages of Time,"Chan, Mou",2001,ongoing,web,src/data/coreDB_extra2.js,3
金色のガッシュ2,konjiki_no_gash_two,金色のガッシュ!! 2,Konjiki no Gash!! 2,"Raiku, Makoto",2022,ongoing,seinen,src/data/coreDB_extra2.js,8
나노마신,nano_machine,나노마신,Nano Machine,Hanjung Wolya/Geumgang Bulgoe,2020,ongoing,web,src/data/coreDB_extra2.js,13
게임속바바리안으로살아남기,surviving_the_game_as_a_barbarian,게임 속 바바리안으로 살아남기,Surviving the Game as a Barbarian,"Jeong, Yungang/Nep",2023,ongoing,web,src/data/coreDB_extra2.js,14
魔女と傭兵,the_witch_and_the_mercenary,魔女と傭兵,The Witch and the Mercenary,"Miyagi, Makoto/Chouhoukiteki, Kaeru",2024,ongoing,seinen,src/data/coreDB_extra2.js,17
最遊記reloadblast,saiyuuki_reload_blast,最遊記RELOAD BLAST,Saiyuuki Reload Blast,"Minekura, Kazuya",2009,ongoing,josei,src/data/coreDB_extra2.js,19
쿠베라,kubera,쿠베라,Kubera,Currygom,2010,ongoing,web,src/data/coreDB_extra2.js,21
ゴブリンスレイヤ外伝イヤワン,goblin_slayer_side_story_year_one,ゴブリンスレイヤー外伝：イヤーワン,Goblin Slayer Side Story: Year One,"Kagyuu, Kumo/Sakaeda, Kento",2017,ongoing,seinen,src/data/coreDB_extra2.js,22
エクソシストを堕とせない,make_the_exorcist_fall_in_love,エクソシストを堕とせない,Make the Exorcist Fall in Love,"Fukayama, Masuku/Arima, Aruma",2021,ongoing,shonen,src/data/coreDB_extra2.js,23
ロゼンガテンサガ,rosen_garten_saga,ローゼンガーテン・サーガ,Rosen Garten Saga,"Fuji, Sakimori/Tonooka, Bakotsu",2020,ongoing,seinen,src/data/coreDB_extra2.js,24
終末のワルキュレ,record_of_ragnarok,終末のワルキューレ,Record of Ragnarok,"Fukui, Takumi/Umemura, Shinya",2017,ongoing,seinen,src/data/coreDB_extra2.js,26
戦国小町苦労譚農耕戯画,sengoku_komachi_kuroutan_noukou_giga,戦国小町苦労譚 農耕戯画,Sengoku Komachi Kuroutan: Noukou Giga,"Sawada, Hajime/Kyouchikutou",2017,ongoing,seinen,src/data/coreDB_extra2.js,28
